swc_node_id,neuron_section_index,source_section,source_region,parent_section,parent_x,depth,swc_type,prox_x,prox_y,prox_z,prox_diam,dist_x,dist_y,dist_z,dist_diam,length_um
2,0,soma,soma,,,0,1,0,0,0,14.398,32.3955,0,0,14.398,32.3955
3,1,axHill,axHillock,soma,0.5,1,6,0,0,0,4.75,5,0,0,4.75,5
4,2,p3[0],proxDend,soma,0.5,1,4,0,0,0,2.978,1.177,-10.178,-0.714,2.978,10.2706771442
5,3,p2[0],proxDend,soma,0.5,1,4,0,0,0,2.669,-7.168,-2.696,-1.5135,2.669,7.80636421454
6,4,p1[0],proxDend,soma,0.5,1,4,0,0,0,2.52,-1.708,15.872,6.12,2.52,17.0965507632
7,5,p0[0],proxDend,soma,0.5,1,4,0,0,0,3.84,0.11,10.37,13.275,3.84,16.8456114463
8,6,axIS[0],axIniSeg,axHill,1,2,2,5,0,0,1.5,7,0,0,1.5,2
9,7,p3[1],proxDend,p3[0],1,2,3,1.177,-10.178,-0.714,2.33,-3.37,-21.31,3.57,2.33,12.7651591843
10,8,p2[1],proxDend,p2[0],1,2,3,-7.168,-2.696,-1.5135,1.74,-6.28,-14.98,-1.53,1.74,12.3160656157
11,9,p1[1],proxDend,p1[0],1,2,3,-1.708,15.872,6.12,2.283,-4.443,23.322,17.865,2.283,14.1748985887
12,10,p0b2[0],proxDend,p0[0],1,2,3,0.11,10.37,13.275,2.56,-2.68,16.3,13.785,2.56,6.57336291406
13,11,p0b1[0],proxDend,p0[0],1,2,3,0.11,10.37,13.275,2.328,4.36,23.612,16.431,2.328,14.2609045996
14,12,axIS[1],axIniSeg,axIS[0],1,3,6,7,0,0,1.5,9,0,0,1.5,2
15,13,p3b2[0],proxDend,p3[1],1,3,4,-3.37,-21.31,3.57,2.09,-1.16,-24.88,4.755,2.09,4.36270844774
16,14,p3b1[0],proxDend,p3[1],1,3,4,-3.37,-21.31,3.57,2.457,-6.549,-31.33,8.505,2.457,11.61295251
17,15,p2b2[0],proxDend,p2[1],1,3,4,-6.28,-14.98,-1.53,1.264,-11.037,-20.603,2.895,1.264,8.59231069038
18,16,p2b1[0],proxDend,p2[1],1,3,4,-6.28,-14.98,-1.53,1.802,-16.843,-17.286,1.53,1.802,11.2364676389
19,17,p1[2],proxDend,p1[1],1,3,4,-4.443,23.322,17.865,1.943,-11.604,33.552,22.628,1.943,13.3648415628
20,18,p0b2b2[0],proxDend,p0b2[0],1,3,4,-2.68,16.3,13.785,1.803,-1.694,27.053,16.66,1.803,11.1742932662
21,19,p0b2b1[0],proxDend,p0b2[0],1,3,4,-2.68,16.3,13.785,2.21,-4.42,24.48,20.925,2.21,10.9963448473
22,20,p0b1[1],proxDend,p0b1[0],1,3,4,4.36,23.612,16.431,1.952,5.037,36.554,22.445,1.952,14.2871231884
23,21,axIS[2],axIniSeg,axIS[1],1,4,2,9,0,0,1.5,11,0,0,1.5,2
24,22,p3b2b2[0],proxDend,p3b2[0],1,4,3,-1.16,-24.88,4.755,2.587,-2.283,-26.725,1.767,2.587,3.68690900349
25,23,p3b2b1[0],proxDend,p3b2[0],1,4,3,-1.16,-24.88,4.755,1.63,3.84,-32.14,17.355,1.63,15.3775030483
26,24,p3b1[1],proxDend,p3b1[0],1,4,3,-6.549,-31.33,8.505,1.4,-10.35,-38.93,12.75,1.4,9.49882234806
27,25,p2b2[1],proxDend,p2b2[0],1,4,3,-11.037,-20.603,2.895,1.224,-11.059,-30.613,1.53,1.224,10.1026634607
28,26,p2b1[1],proxDend,p2b1[0],1,4,3,-16.843,-17.286,1.53,1.16,-24.42,-23.85,3.735,1.16,10.2644556602
29,27,p1[3],proxDend,p1[2],1,4,3,-11.604,33.552,22.628,1.86,-8.14,45.5,26.37,1.86,12.9906337028
30,28,p0b2b2[1],proxDend,p0b2b2[0],1,4,3,-1.694,27.053,16.66,1.848,-3.598,30.808,28.398,1.848,12.4701998781
31,29,p0b2b1b2[0],proxDend,p0b2b1[0],1,4,3,-4.42,24.48,20.925,1.778,-2.365,32.88,17.355,1.778,9.3556360019
32,30,p0b2b1b1[0],proxDend,p0b2b1[0],1,4,3,-4.42,24.48,20.925,2.211,-14.574,28.63,21.27,2.211,10.9747547125
33,31,p0b1[2],proxDend,p0b1[1],1,4,3,5.037,36.554,22.445,2.098,8.383,46.695,31.313,2.098,13.8808148536
34,32,axIS[3],axIniSeg,axIS[2],1,5,6,11,0,0,1.5,13,0,0,1.5,2
35,33,p3b2b2[1],proxDend,p3b2b2[0],1,5,4,-2.283,-26.725,1.767,0.908,-0.576,-34.852,3.405,0.908,8.46433824938
36,34,p3b2b1b2[0],proxDend,p3b2b1[0],1,5,4,3.84,-32.14,17.355,2.322,6.461,-34.814,24.015,2.322,7.64038722841
37,35,p3b2b1b1[0],proxDend,p3b2b1[0],1,5,4,3.84,-32.14,17.355,1.691,3.046,-40.397,12.075,1.691,9.83294894729
38,36,p3b1b2[0],proxDend,p3b1[1],1,5,4,-10.35,-38.93,12.75,1.582,-4.518,-45.356,14.97,1.582,8.95734893816
39,37,p3b1b1[0],proxDend,p3b1[1],1,5,4,-10.35,-38.93,12.75,1.394,-17.57,-33.831,15.315,1.394,9.20366372702
40,38,p2b2[2],proxDend,p2b2[1],1,5,4,-11.059,-30.613,1.53,1.189,-11.944,-41.032,3.735,1.189,10.6864779511
41,39,p2b1b2[0],proxDend,p2b1[1],1,5,4,-24.42,-23.85,3.735,1.753,-29.88,-19.706,5.7735,1.753,7.15121096389
42,40,p2b1b1[0],proxDend,p2b1[1],1,5,4,-24.42,-23.85,3.735,1.16,-21.63,-19.18,10.41,1.16,8.61095958648
43,41,p1b2[0],proxDend,p1[3],1,5,4,-8.14,45.5,26.37,1.28,-7.324,47.018,39.65,1.28,13.3913621413
44,42,p1b1[0],proxDend,p1[3],1,5,4,-8.14,45.5,26.37,1.598,-15.795,51.463,32.992,1.598,11.7476498926
45,43,p0b2b2[2],proxDend,p0b2b2[1],1,5,4,-3.598,30.808,28.398,2.172,-7.938,32.613,32.325,2.172,6.12494522424
46,44,p0b2b1b2[1],proxDend,p0b2b1b2[0],1,5,4,-2.365,32.88,17.355,1.355,-3.608,43.655,20.07,1.355,11.1810956082
47,45,p0b2b1b1[1],proxDend,p0b2b1b1[0],1,5,4,-14.574,28.63,21.27,2.084,-24.157,27.871,24.798,2.084,10.2399586913
48,46,p0b1[3],proxDend,p0b1[2],1,5,4,8.383,46.695,31.313,2.11,10.208,57.55,36.75,2.11,12.2769140667
49,47,axIS[4],axIniSeg,axIS[3],1,6,2,13,0,0,1.5,15,0,0,1.5,2
50,48,p3b2b2[2],proxDend,p3b2b2[1],1,6,3,-0.576,-34.852,3.405,0.853,-1.653,-42.843,1.0305,0.853,8.40560885659
51,49,p3b2b1b2[1],proxDend,p3b2b1b2[0],1,6,3,6.461,-34.814,24.015,2.434,9.546,-36.895,29.25,2.434,6.42285069109
52,50,p3b2b1b1[1],proxDend,p3b2b1b1[0],1,6,3,3.046,-40.397,12.075,1.579,5.981,-45.739,19.599,1.579,9.68306588845
53,51,p3b1b2[1],proxDend,p3b1b2[0],1,6,3,-4.518,-45.356,14.97,1.565,-6.472,-53.603,19.05,1.565,9.40624925249
54,52,p3b1b1[1],proxDend,p3b1b1[0],1,6,3,-17.57,-33.831,15.315,1.16,-26.28,-32.94,12.75,1.16,9.12344266163
55,53,p2b2[3],proxDend,p2b2[2],1,6,3,-11.944,-41.032,3.735,1.033,-8.991,-50.833,3.735,1.033,10.2362009554
56,54,p2b1b2[1],proxDend,p2b1b2[0],1,6,3,-29.88,-19.706,5.7735,1.449,-34.947,-22.47,6.63,1.449,5.835047322
57,55,p2b1b1b2[0],proxDend,p2b1b1[0],1,6,3,-21.63,-19.18,10.41,0.936,-27.184,-22.038,19.458,0.936,10.9946070416
58,56,p2b1b1b1[0],proxDend,p2b1b1[0],1,6,3,-21.63,-19.18,10.41,1.469,-21.829,-24.66,11.73,1.469,5.64024831014
59,57,p1b2[1],proxDend,p1b2[0],1,6,3,-7.324,47.018,39.65,1.4,-7.91,54.02,46.095,1.4,9.53464341231
